,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
38,1620088230,home_bike_plus,1620088860.0,strength,False,False,677039dafff5463281ba49eadbaf76a0,False,,Strength Workout,124c22b83d1a439d884e89cddd7c9b02,home_bike,1620088262,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,601,0,635.0,0.0,,,1620088230,1620073830,,,,,Adrian Williams
39,1619967364,iPhone,1619967473.0,strength,False,False,7ebbe896e78847f5a7c3e35fb59dbcee,False,,Strength Workout,10af2dd7d94e42f0a1824648ecaecae2,iOS_app,1619967454,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,88,2,104.0,0.0,,,1619967364,1619952964,,,,,Andy Speer
40,1619966727,iPhone,1619967347.0,cardio,False,False,315bc87674c64304acd85901dbeacbd6,False,,Cardio Workout,7d4fffb88b3c4b58a5c72b8e7d8a9d07,iOS_app,1619966816,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,598,2,617.0,0.0,,,1619966727,1619952327,,,,,Adrian Williams
41,1619692223,iPhone,1619694040.0,yoga,False,False,964c9e337e0d4b78a27a6bbc1f323690,False,,Yoga Workout,86c964674d0f44a0b3493d2ba97d93b7,iOS_app,1619692282,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1797,3,1813.0,0.0,,,1619692223,1619677823,,,,,Nico Sarani
42,1619561123,home_bike_plus,1619561531.0,strength,False,False,0dc48cad792a4e469362b7e528fcae0a,False,,Strength Workout,4996265383364d3d926f7a2059f0dfcd,home_bike,1619561184,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,391,0,405.0,0.0,,,1619561123,1619546723,,,,,Andy Speer
43,1619438637,apple_tv,1619438957.0,meditation,False,False,ddae171a20e5429fa29ae60d4dd95559,False,,Meditation Workout,b5db7493bb4b497ca9cfb09351229585,apple_tv,1619438666,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,319,1,319.0,0.0,,,1619438637,1619424237,,,,,Cody Rigsby
44,1619357800,iPhone,1619357893.0,strength,False,False,feb7f908a2014ef4b6f26451a8b6b7b6,False,,Strength Workout,0e440b4afdee4500b572f91247490ae9,iOS_app,1619357830,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,61,4,57.0,2.0,,,1619357800,1619343400,,,,,Rebecca Kennedy
45,1619357150,iPhone,1619357760.0,strength,False,False,07399ac91e044653a090f923ecf9b67c,False,,Strength Workout,8c9b17f3ddf549b69aecf54efa53017c,iOS_app,1619357179,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,562,5,571.0,2.0,,,1619357150,1619342750,,,,,Adrian Williams
46,1619319784,home_bike_plus,1619320744.0,strength,False,False,d0541f41c35d4f47aa1cd97dffd757cd,False,,Strength Workout,67653c3488774bd0b4a1a77a7a052c0b,home_bike,1619319844,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,10.0,0.0,,,1619319784,1619305384,,,,,Adrian Williams
47,1619273184,home_bike_plus,1619274187.0,strength,False,False,79fec030bea34792a9d3940ec341a946,False,,Strength Workout,62b2db2d0fb54d3e9c16d1e6cc555387,home_bike,1619273211,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,991,0,1000.0,0.0,,,1619273184,1619258784,,,,,Jess Sims
