,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name
35,1642273458,iPhone,1642273818.0,strength,False,False,39c44defe0d94ca0985bae78a580d7ff,False,,Strength Workout,844516d3c67c49dc82182719a6da2b54,iOS_app,1642273488,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,331.0,15.0,,,1642273458,1642273458,,,,Jess Sims
36,1642272743,iPhone,1642273253.0,strength,False,False,13be6cfbc5c84b5e89b2c5f7066cd5f3,False,,Strength Workout,007791a540e04a1e8de1a171bff3aeb6,iOS_app,1642272773,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,425.0,18.0,,,1642272743,1642272743,,,,Jess Sims
37,1642009219,iPhone,1642009278.0,strength,False,False,656e7eba38fc4789966656445fbdbdd9,False,,Strength Workout,b0cf5e6654a347a1b9536c7cb2936c43,iOS_app,1642009248,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,56.0,2.0,,,1642009219,1642009219,,,,Marcel Maurer
38,1641932804,web,1641933022.0,stretching,False,False,c126cda56935410f8b54a4e8a3823a9a,False,,Stretching Workout,d8b655a0832f4dd2a636b9831fbdf8f4,web,1641932819,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,214.0,9.0,,,1641932804,1641932804,,,,Marcel Maurer
39,1641927491,iPhone,1641927820.0,running,False,False,9e2abca2a62145baabc2b9c7387118ff,False,,Running Workout,374947e8eaf8444abe313a959592fb80,iOS_app,1641927520,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,318.0,3.0,,,1641927491,1641927491,,,,Jess Sims
40,1641927321,iPhone,1641927485.0,running,False,False,d9dacdc9c1534847a37a255c23112688,False,,Running Workout,f95910bce6fa470ba224064168d98404,iOS_app,1641927351,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,159.0,0.0,,,1641927321,1641927321,,,,Jess King
41,1641927199,iPhone,1641927267.0,running,False,False,905a4b2ccf1f4ec59343c88dbdc3ed7c,False,,Running Workout,126150b65f1f4a4fa49dbc49e7c1dde6,iOS_app,1641927228,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,62.0,1.0,,,1641927199,1641927199,,,,Matty Maggiacomo
42,1641927117,iPhone,1641927186.0,running,False,False,c3d152c6b6a34fc7b68709f1773e11da,False,,Running Workout,36af78b963c347b9a2652994083247c1,iOS_app,1641927146,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,62.0,2.0,,,1641927117,1641927117,,,,Joslyn Thompson Rule
43,1641927019,iPhone,1641927105.0,running,False,False,c17d0b3a47d34d78b6cf1797df6da3bd,False,,Running Workout,b4968c778d6c4784af4efdebe32fd823,iOS_app,1641927048,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,71.0,3.0,,,1641927019,1641927019,,,,Jon Hosking
44,1641926892,iPhone,1641927009.0,running,False,False,6240cf316a4b4133a06aaaa62273324c,False,,Running Workout,615c8d37b3d84486a5fb85259c247e9a,iOS_app,1641926922,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,109.0,0.0,,,1641926892,1641926892,,,,Tobias Heinze
45,1641926179,iPhone,1641926838.0,running,False,False,75afc0293a4b426eb22976a911977082,False,,Running Workout,0ad722b5ce2849bdafa6ba36c1c6a42d,iOS_app,1641926208,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,647.0,0.0,,,1641926179,1641926179,,,,Becs Gentry
46,1641920521,iPhone,1641921720.0,walking,False,False,f8f1e1e2b31f43c8b1f54b845c311ca8,False,,Walking Workout,63f5fb44e4fb40d38d2bc36d98f163b5,iOS_app,1641920670,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,1106.0,0.0,,,1641920521,1641920521,,,,Jeffrey McEachern
47,1641920448,web,1641920672.0,walking,False,False,613296d1e3e24178a952ad74a80f950d,False,,Walking Workout,63f5fb44e4fb40d38d2bc36d98f163b5,web,1641920472,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,203.0,10.0,,,1641920448,1641920448,,,,Jeffrey McEachern
