Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-11-30 07:33 (-05),On Demand,Jess King,30,Cycling,Music,30 min Ozuna Ride,2021-09-29 10:26 (-05),202,112,40%,82,16.79,8.40,415,144.28,,
2021-12-01 07:30 (-05),Live,Alex Toussaint,30,Cycling,Intervals,30 min Tabata Ride,2021-12-01 07:26 (-05),192,107,38%,84,16.29,8.14,435,150.68,,
2021-12-02 07:44 (-05),On Demand,Camila Ramon,30,Cycling,Climb,30 min Climb Ride,2021-11-29 05:51 (-05),228,127,46%,72,17.44,8.72,438,149.42,,
2021-12-03 08:03 (-05),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride,2021-12-01 11:53 (-05),219,122,43%,77,17.11,8.56,428,148.93,,
2021-12-05 10:08 (-05),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Turkey Burn Ride,2021-11-25 07:51 (-05),320,119,42%,77,16.88,12.66,642,150.33,,
2021-12-06 07:39 (-05),On Demand,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2021-11-02 02:55 (-05),189,105,39%,78,16.00,8.00,385,141.10,,
2021-12-07 07:40 (-05),On Demand,Ally Love,30,Cycling,Music,30 min Pop Ride,2021-12-05 11:54 (-05),215,119,42%,80,16.79,8.40,421,148.86,,
2021-12-08 07:47 (-05),On Demand,Matt Wilpers,30,Cycling,Live DJ,30 min Live DJ Ride,2021-12-03 16:52 (-05),225,125,45%,73,17.40,8.70,414,147.36,,
2021-12-09 07:57 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min EDM Ride,2021-12-03 09:20 (-05),218,121,43%,77,17.14,8.58,424,149.32,,
2021-12-10 08:53 (-05),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride,2021-11-19 16:54 (-05),196,106,39%,81,16.23,8.24,423,146.87,,
2021-12-11 11:06 (-05),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2021-12-08 05:53 (-05),159,87,35%,84,15.11,7.67,369,136.67,,
2021-12-13 07:35 (-05),On Demand,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2021-12-12 23:30 (-05),198,110,40%,78,16.44,8.22,427,150.09,,
2021-12-14 07:42 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min 2010s Ride,2021-12-13 05:51 (-05),260,144,45%,79,18.30,9.15,501,165.98,,
2021-12-15 07:48 (-05),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-12-12 04:00 (-05),216,120,42%,78,17.13,8.57,461,157.38,,
2021-12-20 07:32 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min Todo Ritmo Ride,2021-12-17 09:20 (-05),210,117,41%,79,16.82,8.41,409,146.28,,
2021-12-21 06:41 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min Pop Ride,2021-12-19 11:00 (-05),205,114,41%,79,16.69,8.35,462,157.61,,
2021-12-22 07:43 (-05),On Demand,Olivia Amato,30,Cycling,Music,30 min EDM Ride,2021-09-10 06:54 (-05),215,119,41%,80,16.95,8.48,448,154.64,,
2021-12-23 07:54 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min 2000s Ride,2021-12-10 09:21 (-05),236,131,44%,77,17.47,8.73,461,157.43,,
2021-12-24 07:27 (-05),On Demand,Emma Lovewell,30,Cycling,Groove,30 min Groove Ride,2021-12-07 07:22 (-05),189,105,40%,77,16.27,8.14,408,146.04,,
2021-12-25 10:37 (-05),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2021-12-20 18:22 (-05),204,114,40%,81,16.62,8.31,414,147.33,,
2021-12-27 07:33 (-05),On Demand,Jess King,30,Cycling,Music,30 min Hip Hop Ride,2021-12-08 07:22 (-05),213,118,41%,80,16.99,8.50,422,149.04,,
2021-12-28 07:56 (-05),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-11-09 13:25 (-05),215,119,42%,79,17.10,8.55,425,149.72,,
2021-12-29 07:54 (-05),On Demand,Sam Yo,30,Cycling,Climb,30 min Climb Ride,2021-11-23 01:26 (-05),256,142,47%,73,17.88,8.95,441,153.00,,
2021-12-30 09:34 (-05),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-12-30 03:54 (-05),207,115,40%,80,16.56,8.28,434,151.64,,
2022-01-01 12:01 (-05),On Demand,Tunde Oyeneyin,30,Cycling,Music,30 min Hip Hop Ride,2021-12-01 18:25 (-05),200,111,40%,80,16.58,8.29,437,152.24,,
2022-01-03 09:31 (-05),On Demand,Erik Jager,30,Cycling,Music,30 min Techno Ride,2021-10-15 10:55 (-05),177,99,38%,81,15.72,7.86,381,140.24,,
2022-01-04 08:08 (-05),On Demand,Kendall Toole,30,Cycling,Theme,30 min Top 50 of 2021 Ride: #10-1,2021-12-30 12:00 (-05),1,52,29%,81,12.20,0.07,2,71.25,,
2022-01-04 08:10 (-05),On Demand,Jenn Sherman,30,Cycling,Music,30 min 2010s Ride,2021-12-07 09:17 (-05),217,121,42%,78,17.10,8.55,430,150.74,,
2022-01-05 07:48 (-05),On Demand,Camila Ramon,30,Cycling,Music,30 min Pop Ride,2022-01-03 05:53 (-05),234,130,44%,76,17.46,8.73,442,153.29,,
2022-01-06 07:40 (-05),On Demand,Ally Love,30,Cycling,Music,30 min Pop Ride,2022-01-05 07:19 (-05),211,117,42%,79,16.52,8.27,440,152.88,,
2022-01-07 07:45 (-05),On Demand,Hannah Frankson,30,Cycling,Climb,30 min Climb Ride,2022-01-06 13:25 (-05),218,121,45%,71,17.13,8.57,431,151.05,,
2022-01-08 15:09 (-05),On Demand,Jess King,30,Cycling,Music,30 min EDM Ride,2022-01-05 16:53 (-05),194,108,41%,77,16.43,8.22,402,144.74,,
2022-01-10 07:34 (-05),Live,Olivia Amato,30,Cycling,Intervals,30 min HIIT & Hills Ride,2022-01-10 07:21 (-05),206,132,47%,72,17.91,7.73,398,157.40,,
